bookingId, customerId, carPlate, bookingDate, startDate, endDate, bookingFee, status
B0001, C0003, MCD0298, 2022-09-10, 2022-11-13, 2022-11-15, 900.00, CONFIRMED
B0002, C0006, WKL908, 2022-09-10, 2022-11-15, 2022-11-16, 400.00, CONFIRMED
B0003, C0008, WKL908, 2022-09-11, 2022-11-18, 2022-11-23, 2000.00, CONFIRMED
B0004, C0005, HGF3098, 2022-09-13, 2022-11-18, 2022-11-21, 297.00, CONFIRMED
B0005, C0003, MMP110, 2022-09-13, 2022-11-15, 2022-11-16, 380.00, CONFIRMED
B0006, C0003, WKL908, 2022-09-13, 2022-11-07, 2022-11-12, 2000.00, CONFIRMED
B0007, C0007, HGF3098, 2022-09-13, 2022-11-22, 2022-11-25, 297.00, CONFIRMED
B0008, C0008, MMP110, 2022-09-13, 2022-11-17, 2022-11-18, 380.00, WAITING FOR CONFIRMATION
B0009, C0004, WKL908, 2022-09-13, 2022-11-12, 2022-11-17, 2000.00, WAITING FOR CONFIRMATION
B0010, C0009, G1209, 2022-09-13, 2022-11-18, 2022-11-21, 297.00, WAITING FOR CONFIRMATION
B0011, C0010, LJY1008, 2022-11-15, 2022-11-22, 2022-11-24, 836.00, WAITING FOR CONFIRMATION
B0012, C0011, MCD0298, 2022-11-15, 2022-11-15, 2022-11-19, 1800.00, WAITING FOR CONFIRMATION
B0013, C0009, LJY1008, 2022-11-15, 2022-11-17, 2022-11-18, 418.00, WAITING FOR CONFIRMATION
B0014, C0006, MMP110, 2022-11-15, 2022-11-24, 2022-11-26, 836.00, WAITING FOR CONFIRMATION
B0015, C0003, WGH2083, 2022-12-03, 2022-12-22, 2022-12-29, 1386.00, WAITING FOR CONFIRMATION
B0016, C0007, HGF3098, 2022-12-07, 2022-12-15, 2022-12-20, 544.50, WAITING FOR CONFIRMATION
